id,c,v,w,interval,updated,state,match_mode,age,hit_count
12,1055.22,12.84,10.05,"(1050.195, 1060.2450000000001)",True,1,2,0,65
12,1068.06,12.84,10.05,"(1063.0349999999999, 1073.085)",True,1,2,0,66
12,1080.91,12.84,10.05,"(1075.885, 1085.9350000000002)",True,1,2,0,67
12,1093.75,12.84,10.05,"(1088.725, 1098.775)",True,1,2,0,68
12,1106.59,12.84,10.05,"(1101.5649999999998, 1111.615)",True,1,2,0,69
12,1119.43,12.84,10.05,"(1114.405, 1124.4550000000002)",True,1,2,0,70
12,1132.27,12.84,10.05,"(1127.245, 1137.295)",True,1,2,0,71
12,1145.12,12.84,10.05,"(1140.0949999999998, 1150.145)",True,1,2,0,72
12,1157.96,12.84,10.05,"(1152.935, 1162.9850000000001)",True,1,2,0,73
12,1170.8,12.84,10.05,"(1165.7749999999999, 1175.825)",True,1,2,0,74
12,1183.64,12.84,10.05,"(1178.615, 1188.6650000000002)",True,1,2,0,75
12,1196.48,12.84,10.05,"(1191.455, 1201.505)",True,1,2,0,76
12,1209.33,12.84,10.05,"(1204.3049999999998, 1214.355)",True,1,2,0,77
12,1222.17,12.84,10.05,"(1217.145, 1227.1950000000002)",True,1,2,0,78
12,1235.01,12.84,10.05,"(1229.985, 1240.035)",True,1,2,0,79
12,1247.85,12.84,10.05,"(1242.8249999999998, 1252.875)",True,1,2,0,80
12,1260.7,12.84,10.05,"(1255.675, 1265.7250000000001)",True,1,2,0,81
12,1273.54,12.84,10.05,"(1268.5149999999999, 1278.565)",True,1,2,0,82
12,1286.38,12.84,10.05,"(1281.355, 1291.4050000000002)",True,1,2,0,83
12,1299.22,12.84,10.05,"(1294.195, 1304.2450000000001)",True,1,2,0,84
12,1312.06,12.84,10.05,"(1307.0349999999999, 1317.085)",True,1,2,0,85
12,1324.91,12.84,10.05,"(1319.885, 1329.9350000000002)",True,1,2,0,86
12,1337.75,12.84,10.05,"(1332.725, 1342.775)",False,1,2,1,86
12,1337.75,12.84,10.05,"(1332.725, 1342.775)",True,1,2,0,87
12,1350.59,12.84,10.05,"(1345.5649999999998, 1355.615)",True,1,2,0,88
12,1363.43,12.84,10.05,"(1358.405, 1368.4550000000002)",True,1,2,0,89
12,1376.28,12.84,10.05,"(1371.2549999999999, 1381.305)",True,1,2,0,90
12,1389.12,12.84,10.05,"(1384.0949999999998, 1394.145)",True,1,2,0,91
12,1401.96,12.84,10.05,"(1396.935, 1406.9850000000001)",True,1,2,0,92
12,1414.8,12.84,10.05,"(1409.7749999999999, 1419.825)",True,1,2,0,93
12,1427.64,12.84,10.05,"(1422.615, 1432.6650000000002)",True,1,2,0,94
12,1440.49,12.84,10.05,"(1435.465, 1445.515)",True,1,2,0,95
12,1453.33,12.84,10.05,"(1448.3049999999998, 1458.355)",True,1,2,0,96
12,1466.17,12.84,10.05,"(1461.145, 1471.1950000000002)",True,1,2,0,97
12,1479.01,12.84,10.05,"(1473.985, 1484.035)",True,1,2,0,98
12,1491.86,12.84,10.05,"(1486.8349999999998, 1496.885)",True,1,2,0,99
12,1504.7,12.84,10.05,"(1499.675, 1509.7250000000001)",True,1,2,0,100
12,1517.54,12.84,10.05,"(1512.5149999999999, 1522.565)",True,1,2,0,101
12,1530.38,12.84,10.05,"(1525.355, 1535.4050000000002)",True,1,2,0,102
12,1543.22,12.84,10.05,"(1538.195, 1548.2450000000001)",True,1,2,0,103
12,1556.07,12.84,10.05,"(1551.0449999999998, 1561.095)",True,1,2,0,104
12,1568.91,12.84,10.05,"(1563.885, 1573.9350000000002)",True,1,2,0,105
12,1581.75,12.84,10.05,"(1576.725, 1586.775)",True,1,2,0,106
12,1594.59,12.84,10.05,"(1589.5649999999998, 1599.615)",True,1,2,0,107
12,1607.44,12.84,10.05,"(1602.415, 1612.4650000000001)",True,1,2,0,108
12,1620.28,12.84,10.05,"(1615.2549999999999, 1625.305)",True,1,2,0,109
12,1633.12,12.84,10.05,"(1628.0949999999998, 1638.145)",True,1,2,0,110
12,1645.96,12.84,10.05,"(1640.935, 1650.9850000000001)",True,1,2,0,111
12,1658.8,12.84,10.05,"(1653.7749999999999, 1663.825)",True,1,2,0,112
12,1671.65,12.84,10.05,"(1666.625, 1676.6750000000002)",True,1,2,0,113
12,1684.49,12.84,10.05,"(1679.465, 1689.515)",True,1,2,0,114
12,1697.33,12.84,10.05,"(1692.3049999999998, 1702.355)",True,1,2,0,115
12,1710.17,12.84,10.05,"(1705.145, 1715.1950000000002)",True,1,2,0,116
12,1721.89,12.42,9.52,"(1717.13, 1726.65)",True,1,2,0,117
12,1734.31,12.42,9.52,"(1729.55, 1739.07)",True,1,2,0,118
12,1746.72,12.42,9.52,"(1741.96, 1751.48)",True,1,2,0,119
12,1759.14,12.42,9.52,"(1754.38, 1763.9)",True,1,2,0,120
12,1771.56,12.42,9.52,"(1766.8, 1776.32)",True,1,2,0,121
12,1783.77,12.34,9.42,"(1779.06, 1788.48)",True,1,2,0,122
12,1795.88,12.25,9.31,"(1791.2250000000001, 1800.535)",True,1,2,0,123
12,1808.14,12.25,9.31,"(1803.4850000000001, 1812.795)",True,1,2,0,124
12,1820.39,12.25,9.31,"(1815.7350000000001, 1825.045)",True,1,2,0,125
12,1832.65,12.25,9.31,"(1827.9950000000001, 1837.305)",True,1,2,0,126
12,1844.9,12.25,9.31,"(1840.2450000000001, 1849.555)",True,1,2,0,127
12,1857.15,12.25,9.31,"(1852.4950000000001, 1861.805)",True,1,2,0,128
12,1869.41,12.25,9.31,"(1864.755, 1874.065)",True,1,2,0,129
12,1881.66,12.25,9.31,"(1877.005, 1886.315)",True,1,2,0,130
12,1893.92,12.25,9.31,"(1889.265, 1898.575)",True,1,2,0,131
12,1906.17,12.25,9.31,"(1901.515, 1910.825)",False,1,2,1,131
12,1906.17,12.25,9.31,"(1901.515, 1910.825)",True,1,2,0,132
12,1918.43,12.25,9.31,"(1913.775, 1923.085)",True,1,2,0,133
12,1930.68,12.25,9.31,"(1926.025, 1935.335)",True,1,2,0,134
12,1942.93,12.25,9.31,"(1938.275, 1947.585)",True,1,2,0,135
12,1955.19,12.25,9.31,"(1950.535, 1959.845)",True,1,2,0,136
12,1967.44,12.25,9.31,"(1962.785, 1972.095)",True,1,2,0,137
12,1979.7,12.25,9.31,"(1975.045, 1984.355)",True,1,2,0,138
12,1991.95,12.25,9.31,"(1987.295, 1996.605)",True,1,2,0,139
12,2004.21,12.25,9.31,"(1999.555, 2008.865)",True,1,2,0,140
12,2016.46,12.25,9.31,"(2011.805, 2021.115)",True,1,2,0,141
12,2028.71,12.25,9.31,"(2024.055, 2033.365)",True,1,2,0,142
